,Unnamed: 0,tweet_id,user_username,text,created_at,conversation_id,lang,possibly_sensitive,author_id,source,in_reply_to_user_id,user_verified,user_profile_image_url,user_name,user_protected,user_created_at,user_location,user_description,user_url,user_pinned_tweet_id,retweet_count,like_count,quote_count,user_tweet_count,user_list_count,user_followers_count,user_following_count,sourcetweet_type,sourcetweet_id,sourcetweet_text,Code,sourcetweet_lang,sourcetweet_author_id,Self-organization,SO code,Building community,BC code,Broadening the counterpublic,BtC code,Creating change in math,CCM code,SJEDI,SJEDI code,CODER,all codes,User Name,Display Name,In JMM 2020 Program?,In JMM 2021 Program,Too anonymous to determine,Organization
10,53,1.21776E+18,qsideinstitute,"Anyone at @JointMath working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclusion, Diversity, and Equity. We use quant tools to discover the impact and scope of injustices and build solutions to remedy them. https://t.co/UYaOCQ6CCg",2020-01-16T10:35:48.000Z,1.21776E+18,en,FALSE,1.11641E+18,Twitter Web App,NA,FALSE,https://pbs.twimg.com/profile_images/1118667730067103744/E2koq4n1_normal.png,qside,FALSE,2019-04-11T18:22:59.000Z,NA,"QSIDE is a pre-eminent research-into-action organization applying a unique, innovative blend of mathematics, data science, and computation to social justice.",https://t.co/EWW3PuzNtm,NA,10,24,0,275,10,705,539,NA,NA,NA,,NA,NA,0,,1,BC impact,0,,0,,1,advocacy,RR,BC impact;advocacy,qsideinstitute,qside,FALSE,FALSE,FALSE,TRUE
11,62,1.21768E+18,frontLahn,"If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM https://t.co/aoLUzVLVqp",2020-01-16T05:35:43.000Z,1.21768E+18,en,FALSE,2612970471,Twitter Web App,NA,FALSE,https://pbs.twimg.com/profile_images/1052768497380544512/ImBpx8Kg_normal.jpg,Max Lahn,FALSE,2014-06-16T02:24:12.000Z,"Ann Arbor, MI",(they/them) ~ 2nd year grad student in math at University of Michigan,https://t.co/50WR7dLNy5,1.10703E+18,14,65,0,4373,7,581,888,quoted,1.20715E+18,Sneak preview of my notes for @maanow panel on supporting trans and nonbinary students at @JointMath this January: https://t.co/93Gc1q3ROb,"preparations, supporting others",en,2612970471,1,amplification,1,talk support,0,,0,,1,lgbtq,JH,amplification;lgbtq;talk support,frontLahn,Max Lahn,FALSE,FALSE,FALSE,FALSE
12,71,1.21767E+18,pwr2dppl,Another Cengage email!! Omg is @CengageLearning at #JMM2020 ?? Can we #DisruptJMM by glaring at Cengage until they UNSUBSCRIBE ME as I have repeatedly and formally requested??,2020-01-16T05:07:22.000Z,1.21767E+18,en,FALSE,3308531970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1026615205332021248/L4debxu1_normal.jpg,DR. ABOLISH THE POLICE,FALSE,2015-08-07T08:21:21.000Z,Toronto,"1312 BLM MMIW; Make Euler Weep Again
students! steal the means of education! (she/they)",https://t.co/LfP2F61ncT,1.43323E+18,1,9,0,30431,42,3326,571,NA,NA,NA,,NA,NA,0,,1,BC impact,1,hashtags,0,,0,,DL,BC impact;hashtags,pwr2dppl,DR. ABOLISH THE POLICE,FALSE,FALSE,TRUE,FALSE
13,73,1.21765E+18,RachelleDeCoste,@LoboWithACause Thank you for sharing this this morning. I was definitely challenged to think about what inclusion means in a different way. I appreciate that challenge and will take it home with me. Thank you for the opportunity to do so. #DisruptJMM,2020-01-16T03:18:23.000Z,1.21713E+18,en,FALSE,2780850314,Twitter for Android,1969930824,FALSE,https://pbs.twimg.com/profile_images/1391481135549624321/lKQkNmxq_normal.jpg,Dr Rachelle DeCoste,FALSE,2014-08-30T17:12:00.000Z,NA,professor of math; tired of the BS; she/her/hers,,NA,2,4,0,1653,14,744,1097,NA,NA,NA,,NA,NA,1,SO impact,1,thankful,0,,1,CC impact,1,SJEDI impact,RR,CC impact;SJEDI impact;SO impact;thankful,RachelleDeCoste,Dr Rachelle DeCoste,FALSE,FALSE,FALSE,FALSE
14,79,1.21761E+18,mathprofcarrie,#DisruptJMM is doing a flash hangout dinner at Stout Street Social at 6. Come hang out. @mathyadriana @kenandoesmath @VictorPiercey1 et al,2020-01-16T00:33:00.000Z,1.21761E+18,en,FALSE,31611970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1084260396016586753/s2Yrn1yl_normal.jpg,Dr. Diaz Eaton - up to #GoodTrouble,FALSE,2009-04-16T02:40:38.000Z,Wabanaki lands (aka Maine USA),"🌈Latina/x neurodivergent prof #modeling #computation at SLAC, researcher #evolution #ecology #networks #SocialSystems #equity and #highered Tweets my own.",https://t.co/QL28nlTvn2,1.42485E+18,0,16,1,17401,129,3097,2423,NA,NA,NA,,NA,NA,0,,1,belonging,1,influencers,0,,0,,JH,belonging;influencers,mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
15,80,1.2176E+18,pwr2dppl,Any #DisruptJMM ppl wanna hang out rn,2020-01-16T00:12:17.000Z,1.2176E+18,en,FALSE,3308531970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1026615205332021248/L4debxu1_normal.jpg,DR. ABOLISH THE POLICE,FALSE,2015-08-07T08:21:21.000Z,Toronto,"1312 BLM MMIW; Make Euler Weep Again
students! steal the means of education! (she/they)",https://t.co/LfP2F61ncT,1.43323E+18,0,12,0,30431,42,3326,571,NA,NA,NA,,NA,NA,0,,1,belonging,0,,0,,0,,DL,belonging,pwr2dppl,DR. ABOLISH THE POLICE,FALSE,FALSE,TRUE,FALSE
16,95,1.2175E+18,pwr2dppl,"What @LoboWithACause said this morning was so important and interesting and I almost napped instead, but I will need to nap before I can say my takeaway. #DisruptJMM #JMM2020",2020-01-15T17:25:37.000Z,1.2175E+18,en,FALSE,3308531970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1026615205332021248/L4debxu1_normal.jpg,DR. ABOLISH THE POLICE,FALSE,2015-08-07T08:21:21.000Z,Toronto,"1312 BLM MMIW; Make Euler Weep Again
students! steal the means of education! (she/they)",https://t.co/LfP2F61ncT,1.43323E+18,1,13,0,30431,42,3326,571,NA,NA,NA,,NA,NA,0,,1,talk support,0,,0,,0,,RR,talk support,pwr2dppl,DR. ABOLISH THE POLICE,FALSE,FALSE,TRUE,FALSE
17,101,1.2175E+18,RachelleDeCoste,Thank you for organizing this. There were so many important points made and I have many things to think about. #disruptjmm https://t.co/l0zFMsjLb6,2020-01-15T17:21:11.000Z,1.2175E+18,en,FALSE,2780850314,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1391481135549624321/lKQkNmxq_normal.jpg,Dr Rachelle DeCoste,FALSE,2014-08-30T17:12:00.000Z,NA,professor of math; tired of the BS; she/her/hers,,NA,2,11,0,1653,14,744,1097,quoted,1.21749E+18,#DisruptJMM what does it mean when we say that we need to welcome marginalized communities into our community? The subtext is that they are not already part of the community...@LoboWithACause #JMM2020,"belonging, inclusion, diversity",en,31611970,1,amplification,1,thankful,0,,0,,1,learning,JH,amplification;learning;thankful,RachelleDeCoste,Dr Rachelle DeCoste,FALSE,FALSE,FALSE,FALSE
18,102,1.2175E+18,monsoon0,I didn’t expect to be facing my own sense of not-belonging so quickly and so deeply in this #DisruptJMM session... @JointMath,2020-01-15T17:17:58.000Z,1.21748E+18,en,FALSE,171782897,Twitter for iPhone,171782897,FALSE,https://pbs.twimg.com/profile_images/516087944575062018/8rH7VLzE_normal.png,Nalini Joshi,FALSE,2010-07-28T04:25:08.000Z,"Sydney, Australia","mathematician, wife, mother, Professor, addicted to math",http://t.co/JilATFWcQA,1.46725E+17,1,5,0,27249,393,13012,659,NA,NA,NA,,NA,NA,0,,1,belonging,1,influencers,0,,0,,DL,belonging;influencers,monsoon0,Nalini Joshi,TRUE,FALSE,FALSE,FALSE
19,103,1.2175E+18,elizabethmunch,"Here we come, @JointMath! #awkwardboardingselfie #disruptJMM https://t.co/3rNmRs0M8S",2020-01-15T17:14:18.000Z,1.2175E+18,en,FALSE,60768243,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1438231462885539842/iMVgAh3j_normal.jpg,Dr. Liz Munch,FALSE,2009-07-28T01:13:59.000Z,"East Lansing, MI","Mathematician. Fully vaxed. Asst prof in @CMSE_at_MSU studying TDA. 55N31, 62R40. Mother of two dragons. Half of a 2-body opportunity. She/her.",https://t.co/j7lkFV0YHP,1.36465E+18,2,26,0,4098,29,1572,1896,NA,NA,NA,,NA,NA,0,,1,BC impact,1,hashtags,0,,0,,RR,BC impact;hashtags,elizabethmunch,Dr. Liz Munch,TRUE,FALSE,FALSE,FALSE
20,106,1.21749E+18,MarissaKawehi,Very happy for folks like @mathyadriana @monsoon0 @thewordninja_bk @pwr2dppl @fra_berni and others for live tweeting @LoboWithACause's talk at #JMM! Thanks everyone and please keep sharing the #DisruptJMM content for all of us who aren't there!!!,2020-01-15T17:02:14.000Z,1.21749E+18,en,FALSE,9.69877E+17,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1440757352240599044/QrKBSdBU_normal.jpg,Dr. Marissa Kawehi Loving,FALSE,2018-03-03T10:06:45.000Z,"Atlanta, GA",Kanaka maoli. NSF Postdoc. Usually tired (not sleepy). Co-organizer of #IndigenousMathematicians and @BlackInMath. On the tenure track job market.,https://t.co/Ll3clpbu01,1.43834E+18,2,19,1,12657,65,5495,1210,NA,NA,NA,,NA,NA,0,,1,thankful; talk support,1,influencers; virtual participation,0,,0,,JH,influencers;talk support;thankful;virtual participation,MarissaKawehi,Dr. Marissa Kawehi Loving,FALSE,FALSE,FALSE,FALSE
21,110,1.21749E+18,pwr2dppl,"Yo, @LoboWithACause is delivering 🔥 and 🗡️ but in a voice that sounds like 🕊️ #JMM2020 #DisruptJMM",2020-01-15T16:45:25.000Z,1.21749E+18,en,FALSE,3308531970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1026615205332021248/L4debxu1_normal.jpg,DR. ABOLISH THE POLICE,FALSE,2015-08-07T08:21:21.000Z,Toronto,"1312 BLM MMIW; Make Euler Weep Again
students! steal the means of education! (she/they)",https://t.co/LfP2F61ncT,1.43323E+18,2,15,0,30431,42,3326,571,NA,NA,NA,,NA,NA,0,,1,talk support,0,,0,,0,,DL,talk support,pwr2dppl,DR. ABOLISH THE POLICE,FALSE,FALSE,TRUE,FALSE
22,111,1.21749E+18,fra_berni,D&amp;I for the betterment of math without efforts to bring resources and give back to the marginalized communities individuals are coming from perpetuates exploitation: isn’t this another way of taking resources from marginalized communities? - @LoboWithACause #JMM2020 #DisruptJMM,2020-01-15T16:43:44.000Z,1.21748E+18,en,FALSE,637358809,Twitter for iPhone,637358809,FALSE,https://pbs.twimg.com/profile_images/865179901271220225/UOru_RMn_normal.jpg,"Francesca Bernardi, Ph.D.",FALSE,2012-07-16T22:58:53.000Z,NA,"Assistant Professor @WPIMath. Co-founder of @GirlsTalkMath. @500womensci leadership member. She/her/hers/lei. MA, 🇺🇸/ Milano, 🇮🇹.",https://t.co/iZpanB8ybQ,8.65016E+17,1,12,0,5957,33,903,1859,NA,NA,NA,,NA,NA,1,amplification,0,,1,influencers,0,,1,representation; power,RR,amplification;influencers;power;representation,fra_berni,"Francesca Bernardi, Ph.D.",TRUE,FALSE,FALSE,FALSE
23,112,1.21749E+18,HthrLynnJ,"Challenge revisited, @LoboWithACause highlights the metaphor and encourages us to reflect on its implications:
“Welcome individuals from underrepresented and marginalized communities INTO the mathematics community”
#JMM2020 #DisruptJMM https://t.co/iQrDpBwcVL",2020-01-15T16:43:43.000Z,1.21748E+18,en,FALSE,310055182,Twitter for iPhone,310055182,FALSE,https://pbs.twimg.com/profile_images/1445495679619588097/7TzG-4Lb_normal.jpg,Dr. Heather Lynn Johnson,FALSE,2011-06-03T03:45:54.000Z,"Denver, CO",Associate Professor @CUDenverEd _ Math reasoning is more important than answer finding _ #PAEMST '03 _ She/Her _ CMT Editor @cctmath _ #BLM #MTBoS,https://t.co/YvOSkIyfay,1.35781E+18,2,7,0,12720,105,1912,1014,NA,NA,NA,,NA,NA,1,amplification,1,talk support,1,hashtags,0,,1,representation,JH,amplification;hashtags;representation;talk support,HthrLynnJ,Dr. Heather Lynn Johnson,FALSE,FALSE,FALSE,FALSE
24,113,1.21749E+18,mathyadriana,KEY things for us to think about. #JMM2020 #disruptjmm @LoboWithACause https://t.co/8eQFusG2UI,2020-01-15T16:36:46.000Z,1.21748E+18,en,FALSE,7.76451E+17,Twitter for iPhone,7.76451E+17,FALSE,https://pbs.twimg.com/profile_images/1267652145991618564/rnpdjctF_normal.jpg,Dr. Adriana Salerno Domínguez 🇻🇪,FALSE,2016-09-15T16:01:03.000Z,"Portland, ME","Math prof @BatesCollege. Program Officer (DMS/ANT) @nsf -- views/tweets are my own. Venezuelan, nerd, Jefa. #OnLeaveNotDead #Blacklivesmatter. (She/her)",,NA,11,23,0,5727,71,3107,813,NA,NA,NA,,NA,NA,1,amplification,1,talk support,1,hashtags,0,,1,representation,DL,amplification;hashtags;representation;talk support,mathyadriana,Dr. Adriana Salerno Domínguez 🇻🇪,TRUE,FALSE,FALSE,FALSE
25,114,1.21749E+18,mathprofcarrie,#DisruptJMM what does it mean when we say that we need to welcome marginalized communities into our community? The subtext is that they are not already part of the community...@LoboWithACause #JMM2020,2020-01-15T16:36:41.000Z,1.21749E+18,en,FALSE,31611970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1084260396016586753/s2Yrn1yl_normal.jpg,Dr. Diaz Eaton - up to #GoodTrouble,FALSE,2009-04-16T02:40:38.000Z,Wabanaki lands (aka Maine USA),"🌈Latina/x neurodivergent prof #modeling #computation at SLAC, researcher #evolution #ecology #networks #SocialSystems #equity and #highered Tweets my own.",https://t.co/QL28nlTvn2,1.42485E+18,5,26,1,17401,129,3097,2423,NA,NA,NA,,NA,NA,1,amplification,0,,1,influencers,0,,1,representation,RR,amplification;influencers;representation,mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
26,115,1.21748E+18,mathprofcarrie,"To what extent are we using diversity to get more workforce, which is still about  assimilation and exploitation and still promoting an elite western epistemology? @LoboWithACause #DisruptJMM #JMM2020",2020-01-15T16:33:12.000Z,1.21748E+18,en,FALSE,31611970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1084260396016586753/s2Yrn1yl_normal.jpg,Dr. Diaz Eaton - up to #GoodTrouble,FALSE,2009-04-16T02:40:38.000Z,Wabanaki lands (aka Maine USA),"🌈Latina/x neurodivergent prof #modeling #computation at SLAC, researcher #evolution #ecology #networks #SocialSystems #equity and #highered Tweets my own.",https://t.co/QL28nlTvn2,1.42485E+18,5,22,0,17401,129,3097,2423,NA,NA,NA,,NA,NA,0,,0,,1,influencers; hashtags,0,,1,representation; power,JH,hashtags;influencers;power;representation,mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
27,116,1.21748E+18,mathprofcarrie,#DisruptJMM @LoboWithACause explores what it's like when your mathematics job opportunities are with institutions/companies that have historically been involved in oppression. #JMM2020,2020-01-15T16:30:40.000Z,1.21748E+18,en,FALSE,31611970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1084260396016586753/s2Yrn1yl_normal.jpg,Dr. Diaz Eaton - up to #GoodTrouble,FALSE,2009-04-16T02:40:38.000Z,Wabanaki lands (aka Maine USA),"🌈Latina/x neurodivergent prof #modeling #computation at SLAC, researcher #evolution #ecology #networks #SocialSystems #equity and #highered Tweets my own.",https://t.co/QL28nlTvn2,1.42485E+18,1,10,0,17401,129,3097,2423,NA,NA,NA,,NA,NA,1,amplification,1,talk support,1,hashtags,0,,1,power,DL,amplification;hashtags;power;talk support,mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
28,119,1.21748E+18,mathprofcarrie,Higher education and indigenous communities has always been about exploitation. #disruptJMM #JMM2020 https://t.co/WzZEyxUVWM,2020-01-15T16:25:58.000Z,1.21748E+18,en,FALSE,31611970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1084260396016586753/s2Yrn1yl_normal.jpg,Dr. Diaz Eaton - up to #GoodTrouble,FALSE,2009-04-16T02:40:38.000Z,Wabanaki lands (aka Maine USA),"🌈Latina/x neurodivergent prof #modeling #computation at SLAC, researcher #evolution #ecology #networks #SocialSystems #equity and #highered Tweets my own.",https://t.co/QL28nlTvn2,1.42485E+18,2,6,1,17401,129,3097,2423,NA,NA,NA,,NA,NA,1,amplification,1,talk support,0,,1,math practice,1,indigenous,RR,amplification;indigenous;math practice;talk support,mathprofcarrie,Dr. Diaz Eaton - up to #GoodTrouble,TRUE,FALSE,FALSE,FALSE
29,120,1.21748E+18,pwr2dppl,Important message/reminder from @LoboWithACause that loss of language is not some kind of natural occurrence. Loss of indigenous languages comes with stories of violence and trauma. #JMM2020 #DisruptJMM #JEDI #DiversityandInclusion #DiversityOrElse,2020-01-15T16:25:09.000Z,1.21748E+18,en,FALSE,3308531970,Twitter for Android,NA,FALSE,https://pbs.twimg.com/profile_images/1026615205332021248/L4debxu1_normal.jpg,DR. ABOLISH THE POLICE,FALSE,2015-08-07T08:21:21.000Z,Toronto,"1312 BLM MMIW; Make Euler Weep Again
students! steal the means of education! (she/they)",https://t.co/LfP2F61ncT,1.43323E+18,1,14,0,30431,42,3326,571,NA,NA,NA,,NA,NA,1,amplification,1,talk support,1,hashtags,0,,1,indigenous,JH,amplification;hashtags;indigenous;talk support,pwr2dppl,DR. ABOLISH THE POLICE,FALSE,FALSE,TRUE,FALSE
