,text
433,RT user205  I highly recommend reading this incredible woman’s statement. She read this at the beginning of her Number Theory talk. #Disrup…
434,"RT user75  It's wild to me, and it's a real mark of my privilege, that I don't know who the harassers are in my particular research commu…"
435,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
436,RT user337  A favorite #JMM2020 photo illustrates the joyfulness of Dr. Ulrica Wilson (user97 math prof) &amp; Dr. Karoline Pershe…
437,RT user205  I highly recommend reading this incredible woman’s statement. She read this at the beginning of her Number Theory talk. #Disrup…
438,"RT user75  In every class, there is a culture. If you're not being intentional about what you want the culture to be, then you can end up…"
439,"RT user75  It's wild to me, and it's a real mark of my privilege, that I don't know who the harassers are in my particular research commu…"
440,RT user206  My PhD advisor took 1/4 of her time acknowledging native lands and discussing sexual harassment in mathematics. It was ev…
441,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
442,RT user205  I highly recommend reading this incredible woman’s statement. She read this at the beginning of her Number Theory talk. #Disrup…
443,RT user205  I highly recommend reading this incredible woman’s statement. She read this at the beginning of her Number Theory talk. #Disrup…
444,"RT user210  I'm so glad for #disruptJMM and to see established mathematicians speaking up

Too often, harassing or inappropriate behavior fr…"
445,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
446,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
447,"RT user75  Big thanks to aBa Mbirika for a fun and beautiful talk reminding me and us all how fun and beautiful math is. 
#JMM2020 #Disru…"
448,RT user75  Of course math has disciplinary worldviews. How could it not? Our collective failure to identify and interrogate our assumptio…
449,"RT user210  I'm so glad for #disruptJMM and to see established mathematicians speaking up

Too often, harassing or inappropriate behavior fr…"
450,"RT user75  Panel on supporting trans and non-binary students. ""There are gonna be weird moments when someone needs something. Just do it,…"
451,"RT user210  I'm so glad for #disruptJMM and to see established mathematicians speaking up

Too often, harassing or inappropriate behavior fr…"
452,RT user266  user76 Almost on my way...other #DisruptJMM are welcome to join!
453,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
454,RT user337  A favorite #JMM2020 photo illustrates the joyfulness of Dr. Ulrica Wilson (user97 math prof) &amp; Dr. Karoline Pershe…
455,RT user266  I need lunch. Where are my #disruptJMM folks?
456,RT user9  “Remember that data are not neutral.” from user266 s talk on Calling Bull(shit) with R #disruptJMM https://t.co/…
457,"RT user75  Advocate for systemic / institutional change if you are in a position to do so, but also, do the stuff that you immediately ca…"
458,"RT user75  But like, own your responsibility to do better, and don't put the labor on trans / nb people to tell you how to do better.
#di…"
459,"RT user75  Donating your time or money to LGBTQ+ people or causes is a good way to apologize meaningfully.
#disruptJMM #JMM2020 user10"
460,RT user75  Waiting for shitty people to retire and/or die doesn't solve any problems for anyone. They're making new transphobes all the t…
461,"RT user9  For my new followers:

I developed a class last summer called Fractals, Algorithms, and Us. I wanted to build an inclusi…"
462,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
463,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
464,RT user253  Melody Chan uses her brief time at the podium accepting her award to #DisruptJMM and make the point that it is hard to be…
465,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
466,"RT user266  Panel answer about transgender and non-binary student support: ""There is power in being out...in a 'What are you going…"
467,"RT user75  ""I know a lot of mediocre white men in academia. There should thus be allowed to be a lot of mediocre people of color in acade…"
468,RT user211  Educators must be more than allies | Kelly Holstine https://t.co/Xl3acCMIKN via user83 user338 #ClearTheAir #i…
469,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
470,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
471,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
472,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
473,"RT user266  To what extent are we using diversity to get more workforce, which is still about  assimilation and exploitation and st…"
474,"RT user102  #DisruptJMM We mathematicians have a responsibility to serve our communities, particularly those marginalized and under…"
475,RT user206  My PhD advisor took 1/4 of her time acknowledging native lands and discussing sexual harassment in mathematics. It was ev…
476,"RT user172  Emerald Stacy starts with a land acknowledgment and the fact that 8 out of 11,270 math &amp; stats PhD’s were awarded to pe…"
477,"RT user75  There are trans and non-binary students, staff, and faculty across campus. If your solidarity doesn't extend outside of your o…"
478,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
479,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
480,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
481,"RT user75  It's wild to me, and it's a real mark of my privilege, that I don't know who the harassers are in my particular research commu…"
482,RT user94  Harassment in mathematics is harmful for current and would-be mathematicians and also (though less important than the people h…
483,RT user94  Harassment in mathematics is harmful for current and would-be mathematicians and also (though less important than the people h…
484,RT user81  I love what people are doing to make the Joint Meetings and the mathematical community more inclusive.  We need a lot more.…
485,RT user172  Patrick Ingram starts his talk at #JMM2020 with an explanation of land acknowledgments and sends people to https://t.co…
486,RT user172  Patrick Ingram starts his talk at #JMM2020 with an explanation of land acknowledgments and sends people to https://t.co…
487,RT user266  This is for those that aren't here as much as the ones that are here. #disruptJMM
488,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
489,"RT user75  Panel on supporting trans and non-binary students. ""There are gonna be weird moments when someone needs something. Just do it,…"
490,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
491,RT user337  A favorite #JMM2020 photo illustrates the joyfulness of Dr. Ulrica Wilson (user97 math prof) &amp; Dr. Karoline Pershe…
492,RT user75  Kelly MacArthur now speaking about the ways she's worked to rehumanize exams in a big calculus course. If we're shifting our p…
493,"RT user75  Full house for user212 s talk ""Mathematics is Not Neutral"" #DisruptJMM user10 #JMM2020 https://t.co/0zYCKaSu5E"
494,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
495,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
496,"RT user75  Panel on supporting trans and non-binary students. ""There are gonna be weird moments when someone needs something. Just do it,…"
497,"RT user75  Resources we should learn about: Trevor Project, OSTEM, PFLAG ...
#disruptJMM #JMM2020 user10"
498,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
499,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
500,RT user75  Kelly MacArthur now speaking about the ways she's worked to rehumanize exams in a big calculus course. If we're shifting our p…
501,"RT user75  Full house for user212 s talk ""Mathematics is Not Neutral"" #DisruptJMM user10 #JMM2020 https://t.co/0zYCKaSu5E"
502,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
503,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
504,"RT user75  ""I know a lot of mediocre white men in academia. There should thus be allowed to be a lot of mediocre people of color in acade…"
505,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
506,"RT user102  ""Tweet is unavailable"" 
I'm seeing a potential trend for #DisruptJMM . We have receipts in this thread and with the exp…"
507,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
508,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
509,RT user257  user212 “Privilege makes all of the structures and efforts needed to keep itself in place invisible ... at least…
510,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
511,"RT user257  user212 “Everyone, student and professional, should experience critical inquiry” #disruptJMM"
512,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
513,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
514,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
515,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
516,RT user94  Harassment in mathematics is harmful for current and would-be mathematicians and also (though less important than the people h…
517,RT user172  Patrick Ingram starts his talk at #JMM2020 with an explanation of land acknowledgments and sends people to https://t.co…
518,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
519,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
520,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
521,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
522,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
523,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
524,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
525,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
526,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
527,RT user172  Here it is. #DisruptJMM https://t.co/DdGBGsLBKe https://t.co/pIPCd6Nu9s
528,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
529,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
530,RT user172  Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s
531,RT user206  My PhD advisor took 1/4 of her time acknowledging native lands and discussing sexual harassment in mathematics. It was ev…
532,RT user36  Omg user172 🔥🔥🔥😭😭😭 #DisruptJMM I was so happy she acknowledged the overthrow of Hawaii and then she brought me to tea…
533,RT user9  “Remember that data are not neutral.” from user266 s talk on Calling Bull(shit) with R #disruptJMM https://t.co/…
534,RT user172  Patrick Ingram starts his talk at #JMM2020 with an explanation of land acknowledgments and sends people to https://t.co…
535,"RT user70  What do you do when the speaker after you mentions references about objects you’ve worked on all your career, and pointedly f…"
536,RT user266  This is for those that aren't here as much as the ones that are here. #disruptJMM
537,RT user266  This is for those that aren't here as much as the ones that are here. #disruptJMM
538,RT user75  #DisruptJMM
539,RT user75  #DisruptJMM with this talk tomorrow!!
540,"RT user70  What do you do when the speaker after you mentions references about objects you’ve worked on all your career, and pointedly f…"
541,"RT user70  What do you do when the speaker after you mentions references about objects you’ve worked on all your career, and pointedly f…"
542,"RT user106  Wish we did #DisruptJMM before I quit. Maybe I would still be in academia.

You're amazing, people. 💪✊"
543,RT user75  Hey so user279 gave maybe the most concrete and meaningful #DisruptJMM discussion I've seen in any general session so f…
544,RT user206  My PhD advisor took 1/4 of her time acknowledging native lands and discussing sexual harassment in mathematics. It was ev…
545,"RT user102  #DisruptJMM We mathematicians have a responsibility to serve our communities, particularly those marginalized and under…"
546,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
547,RT user206  My PhD advisor took 1/4 of her time acknowledging native lands and discussing sexual harassment in mathematics. It was ev…
548,RT user206  My PhD advisor took 1/4 of her time acknowledging native lands and discussing sexual harassment in mathematics. It was ev…
549,RT user206  My PhD advisor took 1/4 of her time acknowledging native lands and discussing sexual harassment in mathematics. It was ev…
550,"RT user9  For my new followers:

I developed a class last summer called Fractals, Algorithms, and Us. I wanted to build an inclusi…"
551,"RT user70  What do you do when the speaker after you mentions references about objects you’ve worked on all your career, and pointedly f…"
552,"RT user75  I'd just like to mention that, in an extremely rare turn of events, I've located a space where there actually need to be way m…"
553,RT user266  Haimo award presentation cites bell hooks #DisruptJMM https://t.co/8qkUBWuzo6
554,RT user36  #DisruptJMM statement ❤️❤️❤️ https://t.co/mBMvOh5Jil
555,"RT user75  I'd just like to mention that, in an extremely rare turn of events, I've located a space where there actually need to be way m…"
556,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
557,RT user206  Patrick Ingram started his (amazing) talk by asking the audience to go to https://t.co/thGCZ42BRh to see who’s land we li…
558,RT user5  Asking in the Q&amp;A whether a data science program under discussion requires an ethics course... #DisruptJMM
559,RT user76  user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 
560,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
561,RT user76  user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 
562,RT user76  user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 
563,"RT user9  “The hard stuff isn’t teaching R.”

Justice takes work, from facing the political history of mathematics to making inten…"
564,"RT user184  The SECOND #DisruptJMM slide from user266 : Math is not neutral

The more there are, the more comfortable I feel…"
565,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
566,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
567,"RT user222  If you're at #JMM2020, come to this panel on supporting trans and non-binary math students on Saturday morning! #DisruptJMM"
568,"RT user9  “The hard stuff isn’t teaching R.”

Justice takes work, from facing the political history of mathematics to making inten…"
569,RT user76  user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 
570,"RT user70  What do you do when the speaker after you mentions references about objects you’ve worked on all your career, and pointedly f…"
571,"RT user70  What do you do when the speaker after you mentions references about objects you’ve worked on all your career, and pointedly f…"
572,"RT user36  At #JMM2020 people think I'm wearing a math shirt

#kukiaimauna 
#DisruptJMM 
#HawaiianMath https://t.co/zXLWtpdyVl"
573,RT user206  Patrick Ingram started his (amazing) talk by asking the audience to go to https://t.co/thGCZ42BRh to see who’s land we li…
574,RT user76  user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 
575,"RT user75  .user82 suggests that taking a different approach to mathematical epistemology, and thus broadening your perception of w…"
576,RT user70  So I hope my acknowledgment is appropriate #DisruptJMM #JMM2020 https://t.co/HX05YUahvw
577,"RT user75  Mathematics is currently the province of a particular cultural group. Therefore, it not only *reflects* the hegemony of that g…"
578,"RT user125  My day:

-Teach calculus for 50 minutes
-Spend the next 10 mins following everyone with #DisruptJMM tweets

Repeat x4"
579,RT user70  So I hope my acknowledgment is appropriate #DisruptJMM #JMM2020 https://t.co/HX05YUahvw
580,RT user75  The poster in question. Notes that the drugs are expensive; what can we do about that? user347 user10 #DisruptJMM #JM…
581,"RT user70  What do you do when the speaker after you mentions references about objects you’ve worked on all your career, and pointedly f…"
582,"RT user172  #JMM2020 #DisruptJMM 
Adriana Salerno user250 starts her talk by encouraging people to help diversify the pool of…"
583,"RT user75  Note to me: look for user82 s work in the MTEP proceedings. https://t.co/9FH6LqtP7K
#DisruptJMM #JMM2020 user10"
584,RT user76  user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 
585,RT user70  So I hope my acknowledgment is appropriate #DisruptJMM #JMM2020 https://t.co/HX05YUahvw
586,"RT user9  For my new followers:

I developed a class last summer called Fractals, Algorithms, and Us. I wanted to build an inclusi…"
587,RT user253  Melody Chan uses her brief time at the podium accepting her award to #DisruptJMM and make the point that it is hard to be…
588,RT user76  Details: This will be at Leela Cafe from 4:30 to 5:30! Can't wait for this! #SIGMAAJEDI #DisruptJMM
589,RT user76  Citing user146 among others user279 reminds us that #MathIsNotNeutral. #JMM2020 user10 user235 user124 
590,RT user75  Hey so user279 gave maybe the most concrete and meaningful #DisruptJMM discussion I've seen in any general session so f…
591,"RT user102  #DisruptJMM We mathematicians have a responsibility to serve our communities, particularly those marginalized and under…"
592,"RT user9  For my new followers:

I developed a class last summer called Fractals, Algorithms, and Us. I wanted to build an inclusi…"
593,RT user76  user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 
594,RT user360  user37 really appreciated your talk about the importance of alternate/multiple representations and how small changes ca…
595,RT user172  Patrick Ingram starts his talk at #JMM2020 with an explanation of land acknowledgments and sends people to https://t.co…
596,"RT user75  Mathematics is currently the province of a particular cultural group. Therefore, it not only *reflects* the hegemony of that g…"
597,"RT user75  Figured out user82 s Twitter handle, belatedly. This feels like a really important theoretical contribution. #DisruptJMM…"
598,"RT user75  Aaron Wangberg asking an important question: Who is actually doing the mathematics, and thus getting opportunities to see the…"
599,"RT user75  I'd just like to mention that, in an extremely rare turn of events, I've located a space where there actually need to be way m…"
600,RT user76  Hey #DisruptJMM peeps! Tomorrow around 4:30 or 5 a group will be meeting to talk about a possible #SIGMAAJEDI (put toge…
601,RT user76  #DisruptJMM from user279 quoting user36  #JMM2020 https://t.co/Xq63xoIJd7
602,RT user70  So I hope my acknowledgment is appropriate #DisruptJMM #JMM2020 https://t.co/HX05YUahvw
603,"RT user172  Emerald Stacy starts with a land acknowledgment and the fact that 8 out of 11,270 math &amp; stats PhD’s were awarded to pe…"
604,"RT user36  At #JMM2020 people think I'm wearing a math shirt

#kukiaimauna 
#DisruptJMM 
#HawaiianMath https://t.co/zXLWtpdyVl"
605,"RT user36  At #JMM2020 people think I'm wearing a math shirt

#kukiaimauna 
#DisruptJMM 
#HawaiianMath https://t.co/zXLWtpdyVl"
606,RT user76  #DisruptJMM from user279 quoting user36  #JMM2020 https://t.co/Xq63xoIJd7
607,"RT user36  At #JMM2020 people think I'm wearing a math shirt

#kukiaimauna 
#DisruptJMM 
#HawaiianMath https://t.co/zXLWtpdyVl"
608,"RT user36  At #JMM2020 people think I'm wearing a math shirt

#kukiaimauna 
#DisruptJMM 
#HawaiianMath https://t.co/zXLWtpdyVl"
609,"RT user75  Aaron Wangberg asking an important question: Who is actually doing the mathematics, and thus getting opportunities to see the…"
610,"RT user102  ""Tweet is unavailable"" 
I'm seeing a potential trend for #DisruptJMM . We have receipts in this thread and with the exp…"
611,"RT user75  Note to me: look for user82 s work in the MTEP proceedings. https://t.co/9FH6LqtP7K
#DisruptJMM #JMM2020 user10"
612,RT user172  Patrick Ingram starts his talk at #JMM2020 with an explanation of land acknowledgments and sends people to https://t.co…
613,RT user76  user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 
614,RT user76  user37 has provided what will probably be the most important #JMM2020 takeaway. #DisruptJMM #SocialJustice user235 
615,RT user172  Patrick Ingram starts his talk at #JMM2020 with an explanation of land acknowledgments and sends people to https://t.co…
616,"RT user75  Figured out user82 s Twitter handle, belatedly. This feels like a really important theoretical contribution. #DisruptJMM…"
617,RT user75  A feminist epistemology of mathematics challenges the absolutism that characterizes how we think about truth in mathematics. T…
618,RT user75  Well this is going to be a great talk. #DisruptJMM user10 #JMM2020 https://t.co/ATiiuc3VoG
619,RT user172  Patrick Ingram starts his talk at #JMM2020 with an explanation of land acknowledgments and sends people to https://t.co…
620,RT user75  Hey so user279 gave maybe the most concrete and meaningful #DisruptJMM discussion I've seen in any general session so f…
621,RT user76  Citing user146 among others user279 reminds us that #MathIsNotNeutral. #JMM2020 user10 user235 user124 
622,"RT user75  Aaron Wangberg asking an important question: Who is actually doing the mathematics, and thus getting opportunities to see the…"
623,"RT user75  Aaron Wangberg asking an important question: Who is actually doing the mathematics, and thus getting opportunities to see the…"
624,RT user76  Details: This will be at Leela Cafe from 4:30 to 5:30! Can't wait for this! #SIGMAAJEDI #DisruptJMM
625,RT user76  #DisruptJMM from user279 quoting user36  #JMM2020 https://t.co/Xq63xoIJd7
626,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
627,"RT user75  I'd just like to mention that, in an extremely rare turn of events, I've located a space where there actually need to be way m…"
628,"RT user102  ""Tweet is unavailable"" 
I'm seeing a potential trend for #DisruptJMM . We have receipts in this thread and with the exp…"
629,"RT user177  Glad to see the #DisruptJMM work from the sidelines (and taking that energy into the spring semester). Math friends, I…"
630,"RT user266  ""If you think that your right to speech is more important than another human's worth and dignity, then you might want t…"
631,RT user76  #DisruptJMM from user279 quoting user36  #JMM2020 https://t.co/Xq63xoIJd7
632,"RT user9  “The hard stuff isn’t teaching R.”

Justice takes work, from facing the political history of mathematics to making inten…"
633,RT user75  Rad. #DisruptJMM
634,"RT user184  The SECOND #DisruptJMM slide from user266 : Math is not neutral

The more there are, the more comfortable I feel…"
635,RT user75  Hey so user279 gave maybe the most concrete and meaningful #DisruptJMM discussion I've seen in any general session so f…
636,RT user76  #DisruptJMM from user279 quoting user36  #JMM2020 https://t.co/Xq63xoIJd7
637,RT user75  Hey so user279 gave maybe the most concrete and meaningful #DisruptJMM discussion I've seen in any general session so f…
638,RT user76  #DisruptJMM from user279 quoting user36  #JMM2020 https://t.co/Xq63xoIJd7
639,RT user76  #DisruptJMM from user279 quoting user36  #JMM2020 https://t.co/Xq63xoIJd7
640,RT user75  Hey so user279 gave maybe the most concrete and meaningful #DisruptJMM discussion I've seen in any general session so f…
641,RT user76  user279 tells us why teaching math with #CulturallyRelevantPedagogy with #SocialJustice us is important. #JMM202…
642,RT user266  user91 user250 user130 user308 user36 user102 user172 user230 Thanks! 1) A…
643,"RT user360  user112  you were quoted many times this morning at user13 s amazing talk on difference, humanity and belonging in…"
644,RT user76  Hey #DisruptJMM peeps! Tomorrow around 4:30 or 5 a group will be meeting to talk about a possible #SIGMAAJEDI (put toge…
645,"RT user102  ""Tweet is unavailable"" 
I'm seeing a potential trend for #DisruptJMM . We have receipts in this thread and with the exp…"
646,"RT user70  user102 user36 In Australia, we acknowledge the indigenous custodianship and law of country of the land on which w…"
647,"RT user102  ""Tweet is unavailable"" 
I'm seeing a potential trend for #DisruptJMM . We have receipts in this thread and with the exp…"
648,"RT user102  ""Tweet is unavailable"" 
I'm seeing a potential trend for #DisruptJMM . We have receipts in this thread and with the exp…"
649,"RT user102  #DisruptJMM because speaking out can be scary, but can help when you know a community has your back. https://t.co/SV7jc…"
650,"RT user102  #DisruptJMM because we need mathematics events that make celebrating our cultures, histories, and communities the new n…"
651,RT user102  #DisruptJMM because it's a start to hold organizations accountable https://t.co/ZhtMFfcRUF
652,"RT user102  #DisruptJMM because talks centered and focused on #JEDI are STILL not adequately present on the main stage, thus provid…"
653,RT user102  #DisruptJMM because math is not neutral and we certainly can't pretend entire mathematics organizations and events are…
654,RT user102  #DisruptJMM because the disruptions we experience in trying to do our mathematics is brushed to the side by popular whi…
655,"RT user102  #DisruptJMM because marginalized people's wish to just do math things for our sake is constantly disrupted by ""well int…"
656,"RT user102  ""Tweet is unavailable"" 
I'm seeing a potential trend for #DisruptJMM . We have receipts in this thread and with the exp…"
657,"RT user9  For my new followers:

I developed a class last summer called Fractals, Algorithms, and Us. I wanted to build an inclusi…"
658,RT user153  Anyone at user10 working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclus…
659,"RT user75  Word, word, word, word, and WORD. #DisruptJMM #JMM2020 https://t.co/PkDvVslHHJ"
660,"RT user254  ""We need to stop feeling bad about promoting ourselves and our work."" - Pamela Harris #DisruptJMM"
661,"RT user36  #WhyWe #DisruptJMM

Overheard at #JMM2020 
WOC: can I join you?
WM: sure, we're not diverse enough."
662,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
663,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
664,"RT user36  #WhyWe #DisruptJMM

Overheard at #JMM2020 
WOC: can I join you?
WM: sure, we're not diverse enough."
665,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
666,"RT user172  #JMM2020 #DisruptJMM 
Adriana Salerno user250 starts her talk by encouraging people to help diversify the pool of…"
667,RT user205  If you are interested in hearing about what Washington College is doing in a (seemingly successful) attempt to Calculus more ac…
668,RT user76  An important #JEDI event at #JMM2020. #DisruptJMM https://t.co/DosVE4qiwh
669,RT user76  I've had several people ask me about my #DisruptJMM slide from my presentation - namely how to disrupt a microaggressio…
670,"RT user36  Imagine being a yt tenured cis man with 14k followers worrying that political posts would cause some unfollows. 🤔🤔🤔🙄🙄🙄

#JMM2…"
671,"RT user75  Word, word, word, word, and WORD. #DisruptJMM #JMM2020 https://t.co/PkDvVslHHJ"
672,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
673,"RT user172  Emerald Stacy starts with a land acknowledgment and the fact that 8 out of 11,270 math &amp; stats PhD’s were awarded to pe…"
674,RT user9  “Remember that data are not neutral.” from user266 s talk on Calling Bull(shit) with R #disruptJMM https://t.co/…
675,"RT user184  The SECOND #DisruptJMM slide from user266 : Math is not neutral

The more there are, the more comfortable I feel…"
676,"RT user7  Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with tha…"
677,"RT user36  #WhyWe #DisruptJMM

Overheard at #JMM2020 
WOC: can I join you?
WM: sure, we're not diverse enough."
678,RT user76  Hey #DisruptJMM peeps! Tomorrow around 4:30 or 5 a group will be meeting to talk about a possible #SIGMAAJEDI (put toge…
679,RT user9  “Remember that data are not neutral.” from user266 s talk on Calling Bull(shit) with R #disruptJMM https://t.co/…
680,RT user253  Melody Chan uses her brief time at the podium accepting her award to #DisruptJMM and make the point that it is hard to be…
681,"RT user36  Oh wow, awesome user250 !!
#DisruptJMM #JMM2020"
682,"RT user36  Oh wow, awesome user250 !!
#DisruptJMM #JMM2020"
683,RT user36  Shout-outs to #data4blacklives user146 and user218 from user266 for #DisruptJMM #JMM2020
684,RT user76  Hey #DisruptJMM peeps! Tomorrow around 4:30 or 5 a group will be meeting to talk about a possible #SIGMAAJEDI (put toge…
685,RT user75  Important overlaps here with the user347 panel on ethics. #DisruptJMM #JMM2020 https://t.co/CBTWYbPiHm
686,"RT user75  It is extremely hard for white people to address race and racism in the classroom. Thus, we often bail. This is not good for a…"
687,RT user253  Melody Chan uses her brief time at the podium accepting her award to #DisruptJMM and make the point that it is hard to be…
688,"RT user75  It is extremely hard for white people to address race and racism in the classroom. Thus, we often bail. This is not good for a…"
689,RT user254  user107 Thanks to all of you for following along and to user266 for this amazing presentation. If anyone want…
690,"RT user9  “The hard stuff isn’t teaching R.”

Justice takes work, from facing the political history of mathematics to making inten…"
691,"RT user266  ""If you think that your right to speech is more important than another human's worth and dignity, then you might want t…"
692,RT user9  “Remember that data are not neutral.” from user266 s talk on Calling Bull(shit) with R #disruptJMM https://t.co/…
693,"RT user172  #JMM2020 #DisruptJMM 
Adriana Salerno user250 starts her talk by encouraging people to help diversify the pool of…"
694,RT user253  Melody Chan uses her brief time at the podium accepting her award to #DisruptJMM and make the point that it is hard to be…
695,"RT user172  #JMM2020 #DisruptJMM 
Adriana Salerno user250 starts her talk by encouraging people to help diversify the pool of…"
696,"RT user216  “We need to shape Math in the way we want it to be!” - user242 

#JMM2020 #DisruptJMM"
697,"RT user172  Emerald Stacy starts with a land acknowledgment and the fact that 8 out of 11,270 math &amp; stats PhD’s were awarded to pe…"
698,"RT user266  ""If you think that your right to speech is more important than another human's worth and dignity, then you might want t…"
699,RT user76  An important #JEDI event at #JMM2020. #DisruptJMM https://t.co/DosVE4qiwh
700,"RT user360  user112  you were quoted many times this morning at user13 s amazing talk on difference, humanity and belonging in…"
701,RT user253  Melody Chan uses her brief time at the podium accepting her award to #DisruptJMM and make the point that it is hard to be…
702,RT user153  Anyone at user10 working to #DisruptJMM: Become a FREE member of the Institute for the Quantitative Study of Inclus…
703,RT user130  I am mostly attending invited addresses for the JMM2020 Blog (https://t.co/FxwkfEr7Hb). Anyone that has gone to some of…
704,"RT user254  ""We need to stop feeling bad about promoting ourselves and our work."" - Pamela Harris #DisruptJMM"
705,RT user78  #DisruptJMM #JMM
