,text
139,"I am not in Denver, but am enjoying the large number of #DisruptJMM tweets I am seeing."
140,Great advice! Lots of interesting voices if you follow everyone tweeting with #disruptJMM. https://t.co/zFnJ1pdkej
141,"#DisruptJMM because speaking out can be scary, but can help when you know a community has your back. https://t.co/SV7jcCCHhs"
142,"#DisruptJMM because we need mathematics events that make celebrating our cultures, histories, and communities the new norm  https://t.co/YtSuzlpiu3"
143,#DisruptJMM because it's a start to hold organizations accountable https://t.co/ZhtMFfcRUF
144,"#DisruptJMM because talks centered and focused on #JEDI are STILL not adequately present on the main stage, thus providing the opportunity for those most needing to hear these perspectives the option to skip these conversations https://t.co/J234HkWH9L"
145,#DisruptJMM because math is not neutral and we certainly can't pretend entire mathematics organizations and events are inherently provide equitable experiences https://t.co/dyE6Dm3Vbw
146,#DisruptJMM because the disruptions we experience in trying to do our mathematics is brushed to the side by popular white tenured mathematicians with thousands of followers can describe the overall vibe of the mathematics community as pretty positive https://t.co/OWMy5s0kxI
147,"#DisruptJMM because marginalized people's wish to just do math things for our sake is constantly disrupted by ""well intentioned people"" perpetuating the status quo through op-ed articles https://t.co/U7CSauQr31, 

in Twitter threads, and just walking through a convention #JMM2020"
148,"""Tweet is unavailable"" 
I'm seeing a potential trend for #DisruptJMM . We have receipts in this thread and with the experience of user36 described here 
https://t.co/rXcVaSxJcY 

where mere twitter conversations with colleagues or walking down a conventional hall are disrupted https://t.co/KW1glttNrP"
149,"If you are interested in hearing about what Washington College is doing in a (seemingly successful) attempt to Calculus more accessible, come see my talk at 9:20am in room 503. #wac #JMM2020 #DisruptJMM"
150,"Imagine being a yt tenured cis man with 14k followers worrying that political posts would cause some unfollows. 🤔🤔🤔🙄🙄🙄

#JMM2020 #DisruptJMM"
151,"Hey, who controls AMS Twitter? because user347 misgendered Samuel Hanson in a tweet promoting their podcast: https://t.co/UGXkOkWJYL

user250 user212 user96 user266 user10 

#JMM2020 #DisruptJMM"
152,"Some unsolicited advice for my math friends:

Step 1: Click on #disruptJMM hashtag
Step 2: Follow everyone tweeting with that hashtag."
