,tweet_id,sourcetweet_id,text,Self-organization,Building community,Broadening the counterpublic,Creating change in math,SJEDI,bipoc,gender,lgbtq,talk support,amplification,influencers,representation,thankful,emotional support,BC impact,SO impact,hashtags,indigenous,advocacy,CC impact,SJEDI impact,belonging,learning,virtual participation,power,math practice,strategic planning,conversation,humanize,allyship in math,math experience,jmm experience,futures,disrupteverything,economic,activation,current events,celebration,troll,beyond,Pre JMM 2020,JMM 2020,Inter JMM,JMM 2021,Post JMMs
62,1218575422381871104,1218570118822801411,"Donating your time or money to LGBTQ+ people or causes is a good way to apologize meaningfully.
#disruptJMM #JMM2020 @JointMath",False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
63,1218574190418309123,1218570118822801411,"Waiting for shitty people to retire and/or die doesn't solve any problems for anyone. They're making new transphobes all the time.
#disruptJMM #JMM2020 @JointMath",True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
64,1218572330768719872,1218570118822801411,"But like, own your responsibility to do better, and don't put the labor on trans / nb people to tell you how to do better.
#disruptJMM #JMM2020 @JointMath",False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
65,1218572028220973056,1218570118822801411,"How can allies best handle making mistakes? Know that you're human and give yourself grace. But also, guilt is a useful motivator to do better. Use negative experiences to change yourself for the better. Don't make the same mistake again and again.
#disruptJMM #JMM2020 @JointMath",True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
66,1218571512497811456,1218570118822801411,"Resources we should learn about: Trevor Project, OSTEM, PFLAG ...
#disruptJMM #JMM2020 @JointMath",True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
67,1218570470422958083,1218570118822801411,"There are trans and non-binary students, staff, and faculty across campus. If your solidarity doesn't extend outside of your own classroom, it's not going far enough. 
#disruptJMM #JMM2020 @JointMath",False,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
69,1218568883294089216,1218539796592644097,"I'm so glad for #disruptJMM and to see established mathematicians speaking up

Too often, harassing or inappropriate behavior from male mathematicians is excused as ""social awkwardness"". Everyone needs to be held to the simple standard of treating their colleagues with dignity https://t.co/8aiZHFWqEz",True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
70,1218564824398954496,1218564481384620032,"In every class, there is a culture. If you're not being intentional about what you want the culture to be, then you can end up with something you really don't want. #DisruptJMM #JMM2020 @JointMath",False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
73,1218562605402423296,1218556303234289666,"""I know a lot of mediocre white men in academia. There should thus be allowed to be a lot of mediocre people of color in academia."" #JMM2020 #DisruptJMM @JointMath",True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
75,1218561622505086982,1218556303234289666,Of course math has disciplinary worldviews. How could it not? Our collective failure to identify and interrogate our assumptions and worldviews is one of our greatest disciplinary failures. #JMM2020 #disruptJMM @JointMath https://t.co/D1ZiaGHz1i,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
